联网设备名称,SN,变量名称,从机序号,从机名称,time,value
设备5_new,6.1694E+16,温度,2,土壤,27:11.6,10
设备5_new,6.1694E+16,温度,2,土壤,32:02.8,10
设备5_new,6.1694E+16,温度,2,土壤,37:08.2,10
设备5_new,6.1694E+16,温度,2,土壤,42:02.5,10
设备5_new,6.1694E+16,温度,2,土壤,46:57.1,10
设备5_new,6.1694E+16,温度,2,土壤,52:06.4,10
设备5_new,6.1694E+16,温度,2,土壤,57:02.7,10
设备5_new,6.1694E+16,温度,2,土壤,01:57.7,10
设备5_new,6.1694E+16,温度,2,土壤,07:09.4,10
设备5_new,6.1694E+16,温度,2,土壤,12:00.0,10
设备5_new,6.1694E+16,温度,2,土壤,16:56.5,10
设备5_new,6.1694E+16,温度,2,土壤,21:59.4,10
设备5_new,6.1694E+16,温度,2,土壤,27:03.2,10
设备5_new,6.1694E+16,温度,2,土壤,31:59.7,10
设备5_new,6.1694E+16,温度,2,土壤,37:03.1,10
设备5_new,6.1694E+16,温度,2,土壤,42:00.1,10
设备5_new,6.1694E+16,温度,2,土壤,46:57.6,10
设备5_new,6.1694E+16,温度,2,土壤,51:59.2,10
设备5_new,6.1694E+16,温度,2,土壤,57:02.4,10
设备5_new,6.1694E+16,温度,2,土壤,01:57.1,10
设备5_new,6.1694E+16,温度,2,土壤,07:09.6,10
设备5_new,6.1694E+16,温度,2,土壤,11:59.4,9
设备5_new,6.1694E+16,温度,2,土壤,16:59.1,9
设备5_new,6.1694E+16,温度,2,土壤,21:58.7,9
设备5_new,6.1694E+16,温度,2,土壤,27:00.9,9
设备5_new,6.1694E+16,温度,2,土壤,31:58.4,9
设备5_new,6.1694E+16,温度,2,土壤,37:08.4,9
设备5_new,6.1694E+16,温度,2,土壤,41:58.2,9
设备5_new,6.1694E+16,温度,2,土壤,46:54.6,9
设备5_new,6.1694E+16,温度,2,土壤,51:57.2,9
设备5_new,6.1694E+16,温度,2,土壤,56:56.5,9
设备5_new,6.1694E+16,温度,2,土壤,02:02.4,9
设备5_new,6.1694E+16,温度,2,土壤,07:12.1,9
设备5_new,6.1694E+16,温度,2,土壤,11:58.9,9
设备5_new,6.1694E+16,温度,2,土壤,16:57.1,9
设备5_new,6.1694E+16,温度,2,土壤,21:59.1,9
设备5_new,6.1694E+16,温度,2,土壤,26:57.2,9
设备5_new,6.1694E+16,温度,2,土壤,32:09.3,9
设备5_new,6.1694E+16,温度,2,土壤,36:59.4,9
设备5_new,6.1694E+16,温度,2,土壤,41:59.5,9
设备5_new,6.1694E+16,温度,2,土壤,46:57.1,9
设备5_new,6.1694E+16,温度,2,土壤,51:54.1,9
设备5_new,6.1694E+16,温度,2,土壤,56:58.5,9
设备5_new,6.1694E+16,温度,2,土壤,01:58.9,9
设备5_new,6.1694E+16,温度,2,土壤,07:07.7,9
设备5_new,6.1694E+16,温度,2,土壤,11:59.9,9
设备5_new,6.1694E+16,温度,2,土壤,16:56.6,9
设备5_new,6.1694E+16,温度,2,土壤,21:54.6,9
设备5_new,6.1694E+16,温度,2,土壤,27:01.6,9
设备5_new,6.1694E+16,温度,2,土壤,31:54.7,9
设备5_new,6.1694E+16,温度,2,土壤,37:02.1,9
设备5_new,6.1694E+16,温度,2,土壤,42:03.1,9
设备5_new,6.1694E+16,温度,2,土壤,47:04.0,9
